R;Z;BFS_Sag;CRD;Slope;BFS_Slope;Slope_Delta;One_fiber_coverage;delta_z1
470;-10.0152 ;-10.0522 ;0.0370 ;-0.0439 ;-0.0428 ;0.0011 ;#NOMBRE!;#NOMBRE!
471;-10.0592 ;-10.0950 ;0.0359 ;-0.0440 ;-0.0429 ;0.0011 ;#NOMBRE!;#NOMBRE!
472;-10.1032 ;-10.1380 ;0.0348 ;-0.0441 ;-0.0430 ;0.0011 ;#NOMBRE!;#NOMBRE!
473;-10.1473 ;-10.1810 ;0.0336 ;-0.0442 ;-0.0431 ;0.0011 ;#NOMBRE!;#NOMBRE!
474;-10.1916 ;-10.2241 ;0.0325 ;-0.0443 ;-0.0432 ;0.0011 ;#NOMBRE!;#NOMBRE!
475;-10.2359 ;-10.2673 ;0.0314 ;-0.0444 ;-0.0433 ;0.0012 ;#NOMBRE!;#NOMBRE!
476;-10.2804 ;-10.3106 ;0.0302 ;-0.0445 ;-0.0433 ;0.0012 ;#NOMBRE!;#NOMBRE!
477;-10.3249 ;-10.3540 ;0.0290 ;-0.0446 ;-0.0434 ;0.0012 ;#NOMBRE!;#NOMBRE!
478;-10.3696 ;-10.3975 ;0.0279 ;-0.0447 ;-0.0435 ;0.0012 ;#NOMBRE!;#NOMBRE!
479;-10.4144 ;-10.4410 ;0.0267 ;-0.0448 ;-0.0436 ;0.0012 ;#NOMBRE!;#NOMBRE!
480;-10.4593 ;-10.4847 ;0.0254 ;-0.0449 ;-0.0437 ;0.0012 ;#NOMBRE!;#NOMBRE!
481;-10.5042 ;-10.5284 ;0.0242 ;-0.0450 ;-0.0438 ;0.0012 ;#NOMBRE!;#NOMBRE!
482;-10.5493 ;-10.5723 ;0.0230 ;-0.0451 ;-0.0439 ;0.0012 ;#NOMBRE!;#NOMBRE!
483;-10.5945 ;-10.6162 ;0.0217 ;-0.0452 ;-0.0440 ;0.0013 ;#NOMBRE!;#NOMBRE!
484;-10.6398 ;-10.6602 ;0.0205 ;-0.0453 ;-0.0441 ;0.0013 ;#NOMBRE!;#NOMBRE!
485;-10.6852 ;-10.7044 ;0.0192 ;-0.0455 ;-0.0442 ;0.0013 ;#NOMBRE!;#NOMBRE!
486;-10.7307 ;-10.7486 ;0.0179 ;-0.0456 ;-0.0443 ;0.0013 ;#NOMBRE!;#NOMBRE!
487;-10.7763 ;-10.7929 ;0.0166 ;-0.0457 ;-0.0443 ;0.0013 ;#NOMBRE!;#NOMBRE!
488;-10.8220 ;-10.8373 ;0.0153 ;-0.0458 ;-0.0444 ;0.0013 ;#NOMBRE!;#NOMBRE!
489;-10.8678 ;-10.8817 ;0.0139 ;-0.0459 ;-0.0445 ;0.0013 ;#NOMBRE!;#NOMBRE!
490;-10.9138 ;-10.9263 ;0.0126 ;-0.0460 ;-0.0446 ;0.0014 ;#NOMBRE!;#NOMBRE!
491;-10.9598 ;-10.9710 ;0.0112 ;-0.0461 ;-0.0447 ;0.0014 ;#NOMBRE!;#NOMBRE!
492;-11.0059 ;-11.0157 ;0.0098 ;-0.0462 ;-0.0448 ;0.0014 ;#NOMBRE!;#NOMBRE!
493;-11.0522 ;-11.0606 ;0.0084 ;-0.0463 ;-0.0449 ;0.0014 ;#NOMBRE!;#NOMBRE!
494;-11.0985 ;-11.1055 ;0.0070 ;-0.0464 ;-0.0450 ;0.0014 ;#NOMBRE!;#NOMBRE!
495;-11.1450 ;-11.1506 ;0.0056 ;-0.0465 ;-0.0451 ;0.0014 ;#NOMBRE!;#NOMBRE!
496;-11.1915 ;-11.1957 ;0.0042 ;-0.0466 ;-0.0452 ;0.0014 ;#NOMBRE!;#NOMBRE!
497;-11.2382 ;-11.2409 ;0.0027 ;-0.0467 ;-0.0453 ;0.0015 ;#NOMBRE!;#NOMBRE!
498;-11.2850 ;-11.2862 ;0.0012 ;-0.0468 ;-0.0453 ;0.0015 ;#NOMBRE!;#NOMBRE!
499;-11.3318 ;-11.3316 ;-0.0002 ;-0.0469 ;-0.0454 ;0.0015 ;#NOMBRE!;#NOMBRE!
500;-11.3788 ;-11.3771 ;-0.0017 ;-0.0470 ;-0.0455 ;0.0015 ;#NOMBRE!;#NOMBRE!
501;-11.4259 ;-11.4227 ;-0.0032 ;-0.0471 ;-0.0456 ;0.0015 ;#NOMBRE!;#NOMBRE!
502;-11.4731 ;-11.4683 ;-0.0048 ;-0.0472 ;-0.0457 ;0.0015 ;#NOMBRE!;#NOMBRE!
503;-11.5204 ;-11.5141 ;-0.0063 ;-0.0474 ;-0.0458 ;0.0015 ;#NOMBRE!;#NOMBRE!
504;-11.5678 ;-11.5599 ;-0.0079 ;-0.0475 ;-0.0459 ;0.0016 ;#NOMBRE!;#NOMBRE!
