#More Negative is towards the Secondary (so the focal plane is concave),,,
#No Vigentting (yet) up to the full radius of 409.4 mm,,,
#ROC,,12657,
#Radius (mm),Z (mm),Avg F/num,Chief Ray Deviation (deg)
R,Z,fnum,CRD
386.7245013,-5.909,3.626719787,0.87865969
388.7786131,-5.972,3.626898046,0.884993119
390.8328718,-6.036,3.627077851,0.891358693
392.8872788,-6.099,3.627259212,0.897756754
394.9418355,-6.163,3.627442144,0.904187646
396.9965435,-6.228,3.627626656,0.910651719
399.0514039,-6.292,3.627812763,0.917149326
401.1064185,-6.357,3.628000475,0.923680826
403.1615885,-6.423,3.628189806,0.930246578
405.2169155,-6.488,3.628380769,0.93684695
407.2724009,-6.554,3.628573376,0.943482312
