#Listing of surface sag

#File : D:\Beast\Lampton\LamptonChiefRayADC_3_newAngles_240_ADC25_FP50_f36_1cr_4con.zmx
#Title: 
#Date : 10/16/2023
#Configuration 1 of 3

#Units are Millimeters.
#Slope units are dimensionless.
#Clear Semi-Diameter of surface 22:   4.084421E+02.
#Algorithm assumes +z goes from air to glass.

#Method: Minimum Volume Removal
#Best Fit Sphere Radius        : 	 -1.277364E+04
#Best Fit Sphere Vertex Offset : 	 -4.512461E-02
#Maximum Depth to Remove       : 	  4.512461E-02
#RMS of Depth to Remove        : 	  1.879436E-02
#Maximum Slope Deviation       : 	  2.902025E-03
#RMS Slope Deviation           : 	  6.594154E-04
#Volume To Remove              : 	  7.887209E+03	 cubic Millimeters

       Y-coord 	        Sag 	        BFS Sag 	        Deviation 	        Remove 	              Slope 	        BFS Slope 	       Slope Delta
  4.900000E+01 	  -1.027308E-01 	  -9.398298E-02 	  -8.747859E-03 	   3.637675E-02 	  -4.167309E-03 	  -3.834455E-03 	   3.328531E-04
  5.000000E+01 	  -1.069414E-01 	  -9.785818E-02 	  -9.083229E-03 	   3.604138E-02 	  -4.250415E-03 	  -3.912743E-03 	   3.376714E-04
  5.100000E+01 	  -1.112350E-01 	  -1.018117E-01 	  -9.423358E-03 	   3.570125E-02 	  -4.333407E-03 	  -3.991032E-03 	   3.423759E-04
  5.200000E+01 	  -1.156116E-01 	  -1.058434E-01 	  -9.768132E-03 	   3.535648E-02 	  -4.416284E-03 	  -4.069320E-03 	   3.469647E-04
  5.300000E+01 	  -1.200709E-01 	  -1.099535E-01 	  -1.011743E-02 	   3.500717E-02 	  -4.499044E-03 	  -4.147608E-03 	   3.514362E-04
  5.400000E+01 	  -1.246130E-01 	  -1.141419E-01 	  -1.047114E-02 	   3.465346E-02 	  -4.581685E-03 	  -4.225896E-03 	   3.557889E-04
  5.500000E+01 	  -1.292376E-01 	  -1.184085E-01 	  -1.082915E-02 	   3.429546E-02 	  -4.664206E-03 	  -4.304185E-03 	   3.600211E-04
  5.600000E+01 	  -1.339447E-01 	  -1.227534E-01 	  -1.119132E-02 	   3.393329E-02 	  -4.746604E-03 	  -4.382473E-03 	   3.641313E-04
  5.700000E+01 	  -1.387342E-01 	  -1.271766E-01 	  -1.155753E-02 	   3.356708E-02 	  -4.828880E-03 	  -4.460762E-03 	   3.681179E-04
  5.800000E+01 	  -1.436058E-01 	  -1.316781E-01 	  -1.192767E-02 	   3.319694E-02 	  -4.911030E-03 	  -4.539050E-03 	   3.719796E-04
  5.900000E+01 	  -1.485595E-01 	  -1.362579E-01 	  -1.230160E-02 	   3.282300E-02 	  -4.993054E-03 	  -4.617339E-03 	   3.757148E-04
  6.000000E+01 	  -1.535952E-01 	  -1.409160E-01 	  -1.267921E-02 	   3.244540E-02 	  -5.074950E-03 	  -4.695628E-03 	   3.793222E-04
  6.100000E+01 	  -1.587127E-01 	  -1.456524E-01 	  -1.306035E-02 	   3.206426E-02 	  -5.156717E-03 	  -4.773917E-03 	   3.828003E-04
  6.200000E+01 	  -1.639120E-01 	  -1.504670E-01 	  -1.344490E-02 	   3.167970E-02 	  -5.238353E-03 	  -4.852206E-03 	   3.861479E-04
  6.300000E+01 	  -1.691927E-01 	  -1.553600E-01 	  -1.383274E-02 	   3.129187E-02 	  -5.319858E-03 	  -4.930495E-03 	   3.893637E-04
  6.400000E+01 	  -1.745550E-01 	  -1.603312E-01 	  -1.422372E-02 	   3.090089E-02 	  -5.401230E-03 	  -5.008784E-03 	   3.924465E-04
  6.500000E+01 	  -1.799985E-01 	  -1.653808E-01 	  -1.461771E-02 	   3.050690E-02 	  -5.482468E-03 	  -5.087073E-03 	   3.953949E-04
  6.600000E+01 	  -1.855232E-01 	  -1.705086E-01 	  -1.501458E-02 	   3.011003E-02 	  -5.563570E-03 	  -5.165362E-03 	   3.982080E-04
  6.700000E+01 	  -1.911289E-01 	  -1.757147E-01 	  -1.541419E-02 	   2.971042E-02 	  -5.644536E-03 	  -5.243652E-03 	   4.008845E-04
  6.800000E+01 	  -1.968155E-01 	  -1.809991E-01 	  -1.581641E-02 	   2.930820E-02 	  -5.725365E-03 	  -5.321941E-03 	   4.034233E-04
  6.900000E+01 	  -2.025829E-01 	  -1.863618E-01 	  -1.622109E-02 	   2.890352E-02 	  -5.806054E-03 	  -5.400231E-03 	   4.058235E-04
  7.000000E+01 	  -2.084308E-01 	  -1.918027E-01 	  -1.662810E-02 	   2.849650E-02 	  -5.886605E-03 	  -5.478521E-03 	   4.080839E-04
  7.100000E+01 	  -2.143593E-01 	  -1.973220E-01 	  -1.703730E-02 	   2.808731E-02 	  -5.967014E-03 	  -5.556810E-03 	   4.102038E-04
  7.200000E+01 	  -2.203681E-01 	  -2.029196E-01 	  -1.744855E-02 	   2.767606E-02 	  -6.047282E-03 	  -5.635100E-03 	   4.121821E-04
  7.300000E+01 	  -2.264571E-01 	  -2.085954E-01 	  -1.786170E-02 	   2.726291E-02 	  -6.127408E-03 	  -5.713390E-03 	   4.140180E-04
  7.400000E+01 	  -2.326261E-01 	  -2.143495E-01 	  -1.827661E-02 	   2.684800E-02 	  -6.207391E-03 	  -5.791681E-03 	   4.157107E-04
  7.500000E+01 	  -2.388751E-01 	  -2.201820E-01 	  -1.869314E-02 	   2.643147E-02 	  -6.287230E-03 	  -5.869971E-03 	   4.172594E-04
  7.600000E+01 	  -2.452038E-01 	  -2.260927E-01 	  -1.911114E-02 	   2.601347E-02 	  -6.366924E-03 	  -5.948261E-03 	   4.186633E-04
  7.700000E+01 	  -2.516122E-01 	  -2.320817E-01 	  -1.953047E-02 	   2.559414E-02 	  -6.446473E-03 	  -6.026552E-03 	   4.199218E-04
  7.800000E+01 	  -2.581000E-01 	  -2.381490E-01 	  -1.995098E-02 	   2.517363E-02 	  -6.525876E-03 	  -6.104842E-03 	   4.210343E-04
  7.900000E+01 	  -2.646671E-01 	  -2.442946E-01 	  -2.037253E-02 	   2.475208E-02 	  -6.605133E-03 	  -6.183133E-03 	   4.220001E-04
  8.000000E+01 	  -2.713134E-01 	  -2.505184E-01 	  -2.079497E-02 	   2.432964E-02 	  -6.684242E-03 	  -6.261424E-03 	   4.228187E-04
  8.100000E+01 	  -2.780388E-01 	  -2.568206E-01 	  -2.121815E-02 	   2.390646E-02 	  -6.763204E-03 	  -6.339714E-03 	   4.234895E-04
  8.200000E+01 	  -2.848430E-01 	  -2.632011E-01 	  -2.164192E-02 	   2.348268E-02 	  -6.842018E-03 	  -6.418006E-03 	   4.240122E-04
  8.300000E+01 	  -2.917260E-01 	  -2.696598E-01 	  -2.206614E-02 	   2.305847E-02 	  -6.920683E-03 	  -6.496297E-03 	   4.243864E-04
  8.400000E+01 	  -2.986875E-01 	  -2.761969E-01 	  -2.249066E-02 	   2.263395E-02 	  -6.999200E-03 	  -6.574588E-03 	   4.246116E-04
  8.500000E+01 	  -3.057275E-01 	  -2.828122E-01 	  -2.291532E-02 	   2.220929E-02 	  -7.077567E-03 	  -6.652879E-03 	   4.246876E-04
  8.600000E+01 	  -3.128458E-01 	  -2.895058E-01 	  -2.333998E-02 	   2.178462E-02 	  -7.155785E-03 	  -6.731171E-03 	   4.246140E-04
  8.700000E+01 	  -3.200422E-01 	  -2.962777E-01 	  -2.376449E-02 	   2.136011E-02 	  -7.233853E-03 	  -6.809462E-03 	   4.243908E-04
  8.800000E+01 	  -3.273166E-01 	  -3.031279E-01 	  -2.418870E-02 	   2.093590E-02 	  -7.311772E-03 	  -6.887754E-03 	   4.240177E-04
  8.900000E+01 	  -3.346689E-01 	  -3.100564E-01 	  -2.461246E-02 	   2.051215E-02 	  -7.389541E-03 	  -6.966046E-03 	   4.234946E-04
  9.000000E+01 	  -3.420988E-01 	  -3.170632E-01 	  -2.503562E-02 	   2.008899E-02 	  -7.467159E-03 	  -7.044338E-03 	   4.228214E-04
  9.100000E+01 	  -3.496063E-01 	  -3.241483E-01 	  -2.545802E-02 	   1.966658E-02 	  -7.544628E-03 	  -7.122630E-03 	   4.219982E-04
  9.200000E+01 	  -3.571912E-01 	  -3.313117E-01 	  -2.587953E-02 	   1.924508E-02 	  -7.621947E-03 	  -7.200922E-03 	   4.210249E-04
  9.300000E+01 	  -3.648533E-01 	  -3.385534E-01 	  -2.629998E-02 	   1.882463E-02 	  -7.699117E-03 	  -7.279215E-03 	   4.199017E-04
  9.400000E+01 	  -3.725925E-01 	  -3.458733E-01 	  -2.671923E-02 	   1.840538E-02 	  -7.776136E-03 	  -7.357507E-03 	   4.186287E-04
  9.500000E+01 	  -3.804087E-01 	  -3.532716E-01 	  -2.713713E-02 	   1.798747E-02 	  -7.853006E-03 	  -7.435800E-03 	   4.172060E-04
  9.600000E+01 	  -3.883016E-01 	  -3.607481E-01 	  -2.755353E-02 	   1.757107E-02 	  -7.929727E-03 	  -7.514093E-03 	   4.156340E-04
  9.700000E+01 	  -3.962712E-01 	  -3.683030E-01 	  -2.796828E-02 	   1.715632E-02 	  -8.006299E-03 	  -7.592386E-03 	   4.139129E-04
  9.800000E+01 	  -4.043173E-01 	  -3.759361E-01 	  -2.838124E-02 	   1.674337E-02 	  -8.082722E-03 	  -7.670679E-03 	   4.120430E-04
  9.900000E+01 	  -4.124397E-01 	  -3.836475E-01 	  -2.879224E-02 	   1.633237E-02 	  -8.158997E-03 	  -7.748972E-03 	   4.100247E-04
  1.000000E+02 	  -4.206384E-01 	  -3.914372E-01 	  -2.920115E-02 	   1.592346E-02 	  -8.235124E-03 	  -7.827266E-03 	   4.078585E-04
  1.010000E+02 	  -4.289131E-01 	  -3.993052E-01 	  -2.960782E-02 	   1.551679E-02 	  -8.311104E-03 	  -7.905559E-03 	   4.055449E-04
  1.020000E+02 	  -4.372636E-01 	  -4.072515E-01 	  -3.001209E-02 	   1.511251E-02 	  -8.386937E-03 	  -7.983853E-03 	   4.030845E-04
  1.030000E+02 	  -4.456900E-01 	  -4.152761E-01 	  -3.041383E-02 	   1.471077E-02 	  -8.462624E-03 	  -8.062146E-03 	   4.004777E-04
  1.040000E+02 	  -4.541919E-01 	  -4.233790E-01 	  -3.081289E-02 	   1.431172E-02 	  -8.538166E-03 	  -8.140440E-03 	   3.977254E-04
  1.050000E+02 	  -4.627693E-01 	  -4.315602E-01 	  -3.120912E-02 	   1.391549E-02 	  -8.613563E-03 	  -8.218735E-03 	   3.948281E-04
  1.060000E+02 	  -4.714221E-01 	  -4.398197E-01 	  -3.160238E-02 	   1.352223E-02 	  -8.688815E-03 	  -8.297029E-03 	   3.917866E-04
  1.070000E+02 	  -4.801500E-01 	  -4.481575E-01 	  -3.199252E-02 	   1.313209E-02 	  -8.763925E-03 	  -8.375323E-03 	   3.886018E-04
  1.080000E+02 	  -4.889529E-01 	  -4.565735E-01 	  -3.237940E-02 	   1.274521E-02 	  -8.838892E-03 	  -8.453618E-03 	   3.852745E-04
  1.090000E+02 	  -4.978308E-01 	  -4.650679E-01 	  -3.276288E-02 	   1.236173E-02 	  -8.913718E-03 	  -8.531912E-03 	   3.818056E-04
