robot_number;x [mm];y [mm];geometry
23055;256.59230486111187;-73.24177736664382;POINT (256.59230486111187 -73.24177736664382)
23056;256.59230486111187;258.84121187208467;POINT (256.59230486111187 258.84121187208467)
23057;256.5923048611119;-394.5867666053723;POINT (256.5923048611119 -394.5867666053723)
23058;256.5923048611119;-62.50377736664382;POINT (256.5923048611119 -62.50377736664382)
23059;256.5923048611119;269.57921187208467;POINT (256.5923048611119 269.57921187208467)
23060;257.39422860830757;-540.6174345520647;POINT (257.39422860830757 -540.6174345520647)
23061;257.39422860830757;-529.8794345520646;POINT (257.39422860830757 -529.8794345520646)
23062;257.39422860830757;-519.1414345520647;POINT (257.39422860830757 -519.1414345520647)
23063;257.39422860830757;-508.4034345520646;POINT (257.39422860830757 -508.4034345520646)
23064;257.39422860830757;-208.53444531333602;POINT (257.39422860830757 -208.53444531333602)
23065;257.39422860830757;-197.79644531333602;POINT (257.39422860830757 -197.79644531333602)
23066;257.39422860830757;-187.05844531333602;POINT (257.39422860830757 -187.05844531333602)
23067;257.39422860830757;-176.32044531333602;POINT (257.39422860830757 -176.32044531333602)
23068;257.39422860830757;123.54854392539247;POINT (257.39422860830757 123.54854392539247)
23069;257.39422860830757;134.28654392539246;POINT (257.39422860830757 134.28654392539246)
23070;257.39422860830757;145.02454392539246;POINT (257.39422860830757 145.02454392539246)
23071;257.39422860830757;155.76254392539246;POINT (257.39422860830757 155.76254392539246)
23072;257.39422860830757;455.631533164121;POINT (257.39422860830757 455.631533164121)
23073;257.39422860830757;466.369533164121;POINT (257.39422860830757 466.369533164121)
23074;257.39422860830757;477.107533164121;POINT (257.39422860830757 477.107533164121)
23075;257.39422860830757;487.845533164121;POINT (257.39422860830757 487.845533164121)
23076;257.3942286340599;-477.10748385809273;POINT (257.3942286340599 -477.10748385809273)
23077;257.3942286340599;-466.36948385809274;POINT (257.3942286340599 -466.36948385809274)
23078;257.3942286340599;-145.02449461936425;POINT (257.3942286340599 -145.02449461936425)
23079;257.3942286340599;-134.28649461936425;POINT (257.3942286340599 -134.28649461936425)
23080;257.3942286340599;187.05849461936424;POINT (257.3942286340599 187.05849461936424)
23081;257.3942286340599;197.79649461936424;POINT (257.3942286340599 197.79649461936424)
23082;257.3942286340599;519.1414838580927;POINT (257.3942286340599 519.1414838580927)
23083;257.3942286340599;529.8794838580927;POINT (257.3942286340599 529.8794838580927)
23084;257.39422863405997;-487.84548385809273;POINT (257.39422863405997 -487.84548385809273)
23085;257.39422863405997;-455.63148385809274;POINT (257.39422863405997 -455.63148385809274)
23086;257.39422863405997;-155.76249461936425;POINT (257.39422863405997 -155.76249461936425)
23087;257.39422863405997;-123.54849461936425;POINT (257.39422863405997 -123.54849461936425)
23088;257.39422863405997;176.32049461936424;POINT (257.39422863405997 176.32049461936424)
23089;257.39422863405997;208.53449461936424;POINT (257.39422863405997 208.53449461936424)
23090;257.39422863405997;508.4034838580927;POINT (257.39422863405997 508.4034838580927)
23091;257.39422863405997;540.6174838580927;POINT (257.39422863405997 540.6174838580927)
23092;259.1262794158764;-374.5759399327003;POINT (259.1262794158764 -374.5759399327003)
23093;259.1262794158764;-363.8379399327003;POINT (259.1262794158764 -363.8379399327003)
23094;259.1262794158764;-353.0999399327003;POINT (259.1262794158764 -353.0999399327003)
23095;259.1262794158764;-342.3619399327003;POINT (259.1262794158764 -342.3619399327003)
23096;259.1262794158764;-42.49295069397178;POINT (259.1262794158764 -42.49295069397178)
23097;259.1262794158764;-31.754950693971786;POINT (259.1262794158764 -31.754950693971786)
23098;259.1262794158764;-21.016950693971786;POINT (259.1262794158764 -21.016950693971786)
23099;259.1262794158764;-10.278950693971787;POINT (259.1262794158764 -10.278950693971787)
23100;259.1262794158764;289.5900385447567;POINT (259.1262794158764 289.5900385447567)
23101;259.1262794158764;300.3280385447567;POINT (259.1262794158764 300.3280385447567)
23102;259.1262794158764;311.0660385447567;POINT (259.1262794158764 311.0660385447567)
23103;259.1262794158764;321.8040385447567;POINT (259.1262794158764 321.8040385447567)
23104;259.1262794416288;-321.8039892387285;POINT (259.1262794416288 -321.8039892387285)
23105;259.1262794416288;-311.0659892387285;POINT (259.1262794416288 -311.0659892387285)
23106;259.1262794416288;-300.3279892387285;POINT (259.1262794416288 -300.3279892387285)
23107;259.1262794416288;-289.5899892387285;POINT (259.1262794416288 -289.5899892387285)
23108;259.1262794416288;10.278999999999982;POINT (259.1262794416288 10.278999999999982)
23109;259.1262794416288;21.01699999999998;POINT (259.1262794416288 21.01699999999998)
23110;259.1262794416288;31.754999999999985;POINT (259.1262794416288 31.754999999999985)
23111;259.1262794416288;42.49299999999998;POINT (259.1262794416288 42.49299999999998)
23112;259.1262794416288;342.3619892387285;POINT (259.1262794416288 342.3619892387285)
23113;259.1262794416288;353.0999892387285;POINT (259.1262794416288 353.0999892387285)
23114;259.1262794416288;363.8379892387285;POINT (259.1262794416288 363.8379892387285)
23115;259.1262794416288;374.5759892387285;POINT (259.1262794416288 374.5759892387285)
23116;259.6923048039622;-274.94816256605645;POINT (259.6923048039622 -274.94816256605645)
23117;259.6923048039622;-264.21016256605645;POINT (259.6923048039622 -264.21016256605645)
23118;259.6923048039622;-253.47216256605645;POINT (259.6923048039622 -253.47216256605645)
23119;259.6923048039622;57.13482667267203;POINT (259.6923048039622 57.13482667267203)
23120;259.6923048039622;67.87282667267202;POINT (259.6923048039622 67.87282667267202)
23121;259.6923048039622;78.61082667267202;POINT (259.6923048039622 78.61082667267202)
23122;259.6923048039622;389.2178159114005;POINT (259.6923048039622 389.2178159114005)
23123;259.6923048039622;399.9558159114005;POINT (259.6923048039622 399.9558159114005)
23124;259.6923048039622;410.6938159114005;POINT (259.6923048039622 410.6938159114005)
23125;259.6923048196609;-439.9896872423824;POINT (259.6923048196609 -439.9896872423824)
23126;259.6923048196609;-429.2516872423824;POINT (259.6923048196609 -429.2516872423824)
23127;259.6923048196609;-418.5136872423824;POINT (259.6923048196609 -418.5136872423824)
23128;259.6923048196609;-107.90669800365391;POINT (259.6923048196609 -107.90669800365391)
23129;259.6923048196609;-97.16869800365392;POINT (259.6923048196609 -97.16869800365392)
23130;259.6923048196609;-86.43069800365392;POINT (259.6923048196609 -86.43069800365392)
23131;259.6923048196609;224.1762912350746;POINT (259.6923048196609 224.1762912350746)
23132;259.6923048196609;234.9142912350746;POINT (259.6923048196609 234.9142912350746)
23133;259.6923048196609;245.65229123507459;POINT (259.6923048196609 245.65229123507459)
23134;259.6923048196609;556.2592804738031;POINT (259.6923048196609 556.2592804738031)
23135;259.6923048196609;566.997280473803;POINT (259.6923048196609 566.997280473803)
23136;259.6923048196609;577.7352804738031;POINT (259.6923048196609 577.7352804738031)
23137;259.6923048454133;-577.7352311677748;POINT (259.6923048454133 -577.7352311677748)
23138;259.6923048454133;-566.9972311677749;POINT (259.6923048454133 -566.9972311677749)
23139;259.6923048454133;-556.2592311677748;POINT (259.6923048454133 -556.2592311677748)
23140;259.6923048454133;-245.65224192904637;POINT (259.6923048454133 -245.65224192904637)
23141;259.6923048454133;-234.91424192904637;POINT (259.6923048454133 -234.91424192904637)
23142;259.6923048454133;-224.17624192904637;POINT (259.6923048454133 -224.17624192904637)
23143;259.6923048454133;86.43074730968212;POINT (259.6923048454133 86.43074730968212)
23144;259.6923048454133;97.16874730968212;POINT (259.6923048454133 97.16874730968212)
23145;259.6923048454133;107.90674730968212;POINT (259.6923048454133 107.90674730968212)
